holdout,model,feature_set,best_epoch,best_val_cindex,test_cindex,train_n,val_n,test_n,feat_root,split_dir,run_dir
tss_holdout_A2_BH,abmil,macenko,71,0.6345846645367412,0.5567632850241546,792,141,99,/homes/smdaniyal/stain_norm/features/macenko_uni_256,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_A2_BH,/homes/smdaniyal/stain_norm/runs/tss_holdout_A2_BH/abmil_mac
tss_holdout_A2_BH,abmil,raw,100,0.6809105431309904,0.5471014492753623,792,141,99,/work/ai4bio2025/stain_norm/features/raw_uni,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_A2_BH,/homes/smdaniyal/stain_norm/runs/tss_holdout_A2_BH/abmil_raw
tss_holdout_A2_BH,transmil,macenko,50,0.6369808306709265,0.5760869565217391,792,141,99,/homes/smdaniyal/stain_norm/features/macenko_uni_256,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_A2_BH,/homes/smdaniyal/stain_norm/runs/tss_holdout_A2_BH/transmil_mac
tss_holdout_A2_BH,transmil,raw,44,0.7176517571884984,0.4758454106280193,792,141,99,/work/ai4bio2025/stain_norm/features/raw_uni,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_A2_BH,/homes/smdaniyal/stain_norm/runs/tss_holdout_A2_BH/transmil_raw
tss_holdout_A2_E2,abmil,macenko,9,0.5677083333333334,0.5603864734299517,851,82,99,/homes/smdaniyal/stain_norm/features/macenko_uni_256,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_A2_E2,/homes/smdaniyal/stain_norm/runs/tss_holdout_A2_E2/abmil_mac
tss_holdout_A2_E2,abmil,raw,96,0.5520833333333334,0.6388888888888888,851,82,99,/work/ai4bio2025/stain_norm/features/raw_uni,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_A2_E2,/homes/smdaniyal/stain_norm/runs/tss_holdout_A2_E2/abmil_raw
tss_holdout_A2_E2,transmil,macenko,3,0.65625,0.606280193236715,851,82,99,/homes/smdaniyal/stain_norm/features/macenko_uni_256,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_A2_E2,/homes/smdaniyal/stain_norm/runs/tss_holdout_A2_E2/transmil_mac
tss_holdout_A2_E2,transmil,raw,89,0.6822916666666666,0.6086956521739131,851,82,99,/work/ai4bio2025/stain_norm/features/raw_uni,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_A2_E2,/homes/smdaniyal/stain_norm/runs/tss_holdout_A2_E2/transmil_raw
tss_holdout_BH_A2,abmil,macenko,4,0.5772946859903382,0.5543130990415336,792,99,141,/homes/smdaniyal/stain_norm/features/macenko_uni_256,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_BH_A2,/homes/smdaniyal/stain_norm/runs/tss_holdout_BH_A2/abmil_mac
tss_holdout_BH_A2,abmil,raw,69,0.5471014492753623,0.6693290734824281,792,99,141,/work/ai4bio2025/stain_norm/features/raw_uni,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_BH_A2,/homes/smdaniyal/stain_norm/runs/tss_holdout_BH_A2/abmil_raw
