holdout,model,feature_set,best_epoch,best_val_cindex,test_cindex,train_n,val_n,test_n,feat_root,split_dir,run_dir
tss_holdout_A2_BH,abmil,reinhard,99,0.6737220447284346,0.6014492753623188,792,141,99,/homes/wdkarim/features/reinhard_uni_all,/homes/wdkarim/splits/brca_tss_holdout_A2_BH,/homes/wdkarim/runs/tss_holdout_A2_BH/abmil_reinhard
tss_holdout_A2_BH,transmil,reinhard,39,0.7056709265175719,0.5072463768115942,792,141,99,/homes/wdkarim/features/reinhard_uni_all,/homes/wdkarim/splits/brca_tss_holdout_A2_BH,/homes/wdkarim/runs/tss_holdout_A2_BH/transmil_reinhard
tss_holdout_A2_E2,abmil,reinhard,98,0.5,0.6823671497584541,851,82,99,/homes/wdkarim/features/reinhard_uni_all,/homes/wdkarim/splits/brca_tss_holdout_A2_E2,/homes/wdkarim/runs/tss_holdout_A2_E2/abmil_reinhard
tss_holdout_A2_E2,transmil,reinhard,73,0.6848958333333334,0.6243961352657005,851,82,99,/homes/wdkarim/features/reinhard_uni_all,/homes/wdkarim/splits/brca_tss_holdout_A2_E2,/homes/wdkarim/runs/tss_holdout_A2_E2/transmil_reinhard
tss_holdout_BH_A2,abmil,reinhard,99,0.6014492753623188,0.6737220447284346,792,99,141,/homes/wdkarim/features/reinhard_uni_all,/homes/wdkarim/splits/brca_tss_holdout_BH_A2,/homes/wdkarim/runs/tss_holdout_BH_A2/abmil_reinhard
tss_holdout_BH_A2,transmil,reinhard,99,0.5881642512077294,0.6633386581469649,792,99,141,/homes/wdkarim/features/reinhard_uni_all,/homes/wdkarim/splits/brca_tss_holdout_BH_A2,/homes/wdkarim/runs/tss_holdout_BH_A2/transmil_reinhard
tss_holdout_BH_E2,abmil,reinhard,94,0.4661458333333333,0.6880990415335463,809,82,141,/homes/wdkarim/features/reinhard_uni_all,/homes/wdkarim/splits/brca_tss_holdout_BH_E2,/homes/wdkarim/runs/tss_holdout_BH_E2/abmil_reinhard
tss_holdout_BH_E2,transmil,reinhard,33,0.5755208333333334,0.740814696485623,809,82,141,/homes/wdkarim/features/reinhard_uni_all,/homes/wdkarim/splits/brca_tss_holdout_BH_E2,/homes/wdkarim/runs/tss_holdout_BH_E2/transmil_reinhard
tss_holdout_E2_A2,abmil,reinhard,100,0.6835748792270532,0.5,851,99,82,/homes/wdkarim/features/reinhard_uni_all,/homes/wdkarim/splits/brca_tss_holdout_E2_A2,/homes/wdkarim/runs/tss_holdout_E2_A2/abmil_reinhard
tss_holdout_E2_A2,transmil,reinhard,100,0.6545893719806763,0.6822916666666666,851,99,82,/homes/wdkarim/features/reinhard_uni_all,/homes/wdkarim/splits/brca_tss_holdout_E2_A2,/homes/wdkarim/runs/tss_holdout_E2_A2/transmil_reinhard
tss_holdout_E2_BH,abmil,reinhard,100,0.6924920127795527,0.4661458333333333,809,141,82,/homes/wdkarim/features/reinhard_uni_all,/homes/wdkarim/splits/brca_tss_holdout_E2_BH,/homes/wdkarim/runs/tss_holdout_E2_BH/abmil_reinhard
tss_holdout_E2_BH,transmil,reinhard,43,0.7507987220447284,0.5729166666666666,809,141,82,/homes/wdkarim/features/reinhard_uni_all,/homes/wdkarim/splits/brca_tss_holdout_E2_BH,/homes/wdkarim/runs/tss_holdout_E2_BH/transmil_reinhard
