holdout,model,feature_set,best_epoch,best_val_cindex,test_cindex,train_n,val_n,test_n,feat_root,split_dir,run_dir
tss_holdout_A2_BH,abmil,raw,100,0.6809105431309904,0.5471014492753623,792,141,99,/work/ai4bio2025/stain_norm/features/raw_uni,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_A2_BH,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/runs/tss_holdout_A2_BH/abmil_raw
tss_holdout_A2_BH,abmil,staingan,6,0.6026357827476039,0.6304347826086957,792,141,99,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/features,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/splits/brca_tss_holdout_A2_BH,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/runs/tss_holdout_A2_BH/abmil_staingan
tss_holdout_A2_BH,transmil,raw,44,0.7176517571884984,0.4758454106280193,792,141,99,/work/ai4bio2025/stain_norm/features/raw_uni,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_A2_BH,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/runs/tss_holdout_A2_BH/transmil_raw
tss_holdout_A2_BH,transmil,staingan,15,0.6261980830670927,0.5084541062801933,792,141,99,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/features,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/splits/brca_tss_holdout_A2_BH,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/runs/tss_holdout_A2_BH/transmil_staingan
tss_holdout_A2_E2,abmil,raw,96,0.5520833333333334,0.6388888888888888,851,82,99,/work/ai4bio2025/stain_norm/features/raw_uni,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_A2_E2,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/runs/tss_holdout_A2_E2/abmil_raw
tss_holdout_A2_E2,abmil,staingan,11,0.5234375,0.6183574879227053,851,82,99,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/features,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/splits/brca_tss_holdout_A2_E2,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/runs/tss_holdout_A2_E2/abmil_staingan
tss_holdout_A2_E2,transmil,raw,89,0.6822916666666666,0.6086956521739131,851,82,99,/work/ai4bio2025/stain_norm/features/raw_uni,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_A2_E2,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/runs/tss_holdout_A2_E2/transmil_raw
tss_holdout_A2_E2,transmil,staingan,76,0.6744791666666666,0.5314009661835749,851,82,99,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/features,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/splits/brca_tss_holdout_A2_E2,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/runs/tss_holdout_A2_E2/transmil_staingan
tss_holdout_BH_A2,abmil,raw,69,0.5471014492753623,0.6693290734824281,792,99,141,/work/ai4bio2025/stain_norm/features/raw_uni,/homes/smdaniyal/stain_norm/splits/brca_tss_holdout_BH_A2,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/runs/tss_holdout_BH_A2/abmil_raw
tss_holdout_BH_A2,abmil,staingan,3,0.6364734299516909,0.6018370607028753,792,99,141,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/features,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/splits/brca_tss_holdout_BH_A2/,/work/h2020deciderficarra_shared/gcorso/wdkarim/stain_norm/StainGAN/runs/tss_holdout_BH_A2/abmil_staingan
