stain_condition,tss,mean,std,median,count
macenko,3C,17.040926380679156,3.54795178729197,16.17147213512687,3
macenko,4H,15.025271213592575,,15.025271213592575,1
macenko,5T,10.181112037230385,,10.181112037230385,1
macenko,A1,19.137446597469303,4.7966577849189305,18.72958487209801,12
macenko,A2,16.567925907081676,4.250985648226985,15.390625834226942,99
macenko,A7,18.12405539813389,4.17993129058541,17.732661000421047,42
macenko,A8,16.71380368694701,3.913795877088086,15.628244608670013,78
macenko,AC,15.631084616357569,4.060455816988329,15.265020580001119,48
macenko,AN,19.01938256217571,4.167273369026325,19.258372280981117,31
macenko,AO,15.549625273043148,3.5723381277247044,15.662770585649694,46
macenko,AQ,18.927744872164507,3.573073090005345,17.938447503054885,7
macenko,AR,18.090076094983132,4.84611507426652,17.176852912598775,67
macenko,B6,18.054776737453,3.9405479033021678,17.823071679836303,50
macenko,BH,16.093128097236463,3.913907116129409,14.731343845428114,141
macenko,C8,15.21091835264276,3.879350806601104,14.661170734472122,49
macenko,D8,15.927012139374433,3.6071998655953634,15.067087929442364,77
macenko,E2,16.33565290687096,3.490520267426027,15.507730476460505,82
macenko,E9,20.808753761545827,4.2810948347071465,20.19103309968166,62
macenko,EW,14.70560887021638,2.5671237789179973,14.080492410052528,43
macenko,GI,14.580581759459761,2.128184393563228,14.580581759459761,2
macenko,GM,16.1320352417104,4.276155234811028,14.192742940195382,19
macenko,HN,23.352362192688343,1.904735698292236,23.352362192688343,2
macenko,JL,14.93597896373051,0.05306020051802563,14.93597896373051,2
macenko,LD,15.417272637061291,4.275120037077107,13.24305900871515,5
macenko,LL,13.940131030292264,3.260518253963797,13.722907204319275,19
macenko,LQ,13.316552676208925,,13.316552676208925,1
macenko,MS,21.054778446685376,,21.054778446685376,1
macenko,OK,17.527377992445246,,17.527377992445246,1
macenko,OL,22.915947256986477,6.587174342882062,20.30167066732694,15
macenko,PE,16.58359993376291,9.41476519170192,13.279494880511447,3
macenko,PL,14.16668760152423,1.2672913647913882,13.612405362493032,4
macenko,S3,16.19627655268365,1.8381113357724284,16.61383853216357,10
macenko,UL,14.529629328288085,,14.529629328288085,1
macenko,UU,14.826268380227326,,14.826268380227326,1
macenko,W8,12.828894694486035,,12.828894694486035,1
macenko,WT,22.308626990914867,5.121103392019786,22.308626990914867,2
macenko,XX,18.794757249668265,5.365070656083465,18.794757249668265,2
macenko,Z7,12.70393092255972,0.5439916851477006,12.70393092255972,2
raw,3C,33.90208645999185,19.540205194740835,40.414480661010295,3
raw,4H,36.617407293051095,,36.617407293051095,1
raw,5T,88.77305096627698,,88.77305096627698,1
raw,A1,36.10630533614597,18.51522300980752,35.83315021618518,12
raw,A2,47.442135085390596,19.922126571079033,46.77920271934328,99
raw,A7,70.15544688232711,21.117588064288796,70.41347378134259,42
raw,A8,39.71663928529813,12.721881640829551,38.53178086732554,78
raw,AC,57.281521024882814,19.37212477630683,56.371709967006694,48
raw,AN,68.40062325036344,20.491826843451026,63.49813917288692,31
raw,AO,53.99030913984368,29.147973396719024,58.75009412066683,46
raw,AQ,50.532706077645045,29.457259252695465,47.723676579170686,7
raw,AR,70.4243583412981,18.514802971105862,73.77057393613516,67
raw,B6,45.965494989884334,18.370178574558196,43.12287415647725,50
raw,BH,47.79807745517968,19.524803967148458,45.820959432449975,141
raw,C8,62.192304393306216,21.14153291055418,63.766358677316845,49
raw,D8,30.93860793179152,14.099375840346502,31.1716107868255,77
raw,E2,34.419197659136785,12.585136838170135,32.89882437778829,82
raw,E9,46.597442743436034,13.15576341508519,46.28670779640609,62
raw,EW,42.120452262754775,18.48735067104196,37.71569717272271,43
raw,GI,54.24670518679619,13.623369335269457,54.24670518679619,2
raw,GM,48.600608192026684,11.230522308240177,46.75414513599456,19
raw,HN,45.95044625973927,10.579558694543554,45.95044625973927,2
raw,JL,49.141020137477504,25.63317415371698,49.141020137477504,2
raw,LD,55.279782933559716,27.167001766440777,49.28469571358479,5
raw,LL,65.57283207002078,19.61350296329295,65.965815062818,19
raw,LQ,51.99074548442042,,51.99074548442042,1
raw,MS,33.02151262784036,,33.02151262784036,1
raw,OK,30.96928308687476,,30.96928308687476,1
raw,OL,49.11839347303494,16.544988961402314,51.81777429823785,15
raw,PE,83.91603176170794,3.507207348541158,85.56779475022178,3
raw,PL,70.41284241963662,7.346508456300642,71.59633088396906,4
raw,S3,43.585515876948214,10.93295983130051,42.93229777077247,10
raw,UL,35.944612647005854,,35.944612647005854,1
raw,UU,83.6134986315889,,83.6134986315889,1
raw,W8,45.664398363823736,,45.664398363823736,1
raw,WT,24.094303983848526,13.876308314575121,24.094303983848526,2
raw,XX,40.309259137044826,18.510363282817043,40.309259137044826,2
raw,Z7,22.27579000609513,4.003147781974326,22.27579000609513,2
