slide_id,tss,stain_condition,rgb_mean_r,rgb_mean_g,rgb_mean_b,rgb_std_r,rgb_std_g,rgb_std_b,lab_mean_l,lab_mean_a,lab_mean_b,lab_std_l,lab_std_a,lab_std_b,n_patches_used
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,3C,staingan,219.80499070882797,184.28594744205475,211.041188955307,20.78547700347848,30.352808344701224,22.019477157235425,200.68574404716492,145.46685034036636,119.45659357309341,24.839965806791596,8.08270398774944,3.7618917188811056,256
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96,3C,staingan,219.7043113708496,169.20309609174728,202.57919883728027,22.589869063573154,32.703271503264574,24.75495478428976,190.95865941047668,152.00505948066711,118.39397341012955,26.476531254921504,9.235703037580835,3.5195160128100795,256
TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,3C,staingan,227.71653920412064,213.35434812307358,222.31436759233475,14.235222696942422,23.709830897941607,17.61952669916794,221.34772086143494,134.64058881998062,125.51387745141983,18.98479580288424,6.718963253843449,2.2231350759322575,256
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,4H,staingan,204.4249055981636,174.3509874343872,195.84074527025223,39.098780954362155,44.151713446823535,38.20638359419555,189.00304025411606,142.81269121170044,121.0838258266449,40.57699302643435,5.8319151919036925,3.6847598048027237,256
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1,5T,staingan,162.30978965759277,129.1020252108574,167.33528923988342,44.4411973326477,47.59381076365588,39.59918279544481,147.60822695493698,148.13588774204254,112.38214361667633,44.75312663162469,6.253868792434903,5.949379167075463,256
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,A1,staingan,219.9399584531784,195.2075777053833,206.49118161201477,24.357627414321215,37.78557246856407,30.48330692181222,207.21021151542664,139.08533436059952,126.00221186876297,30.685631723308994,9.555495721873905,2.9918756475913297,256
TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F,A1,staingan,209.49986463785172,188.59063440561295,201.31312346458435,24.077883522388536,28.624761910878153,23.238339422632354,199.80388993024826,138.0236455798149,124.40794628858566,25.00984711401655,6.487512867313491,3.532984961476704,256
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A,A1,staingan,210.19071692228317,150.55179071426392,179.56190073490143,23.675096121259788,30.119031270369554,24.700255644859674,175.35326147079468,154.93088108301163,121.96144884824753,25.72119375579086,7.418102282513205,2.950559763992271,256
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499,A1,staingan,207.1441554427147,150.5985211133957,175.5629125237465,34.552397575723006,45.39169774244179,37.8304186313432,174.42288130521774,153.40233266353607,124.1479783654213,38.86118193606722,10.605765289572341,4.01805124318272,256
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,A1,staingan,212.41682481765747,159.34968554973602,182.32998496294022,33.004618514974425,45.544012933478406,37.259158620717486,181.55858498811722,151.73491787910461,124.51177877187729,38.291610551392544,10.971980612564376,4.7047557424537905,256
TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432,A1,staingan,230.7778753042221,202.7256012558937,213.2217185497284,19.568061615055207,37.69276001550531,30.327350713801277,214.90795743465424,139.99926084280014,126.88447910547256,29.3641179692353,10.2781025913141,2.560137379893681,256
TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51,A1,staingan,217.28405565023422,180.29611885547638,199.9104459285736,26.746837728411784,37.68014162173428,30.708541039289237,196.55264753103256,144.86369037628174,123.27454388141632,31.80192981909706,8.363010935151124,2.5696254714877993,256
