stain_condition,tss,mean,std,median,count
raw,3C,18.39138110594483,14.104266206608724,11.298185884498423,3
raw,4H,13.787826464529696,,13.787826464529696,1
raw,5T,44.00789660524101,,44.00789660524101,1
raw,A1,20.799552706313033,11.64763496139218,18.221105380926154,12
raw,A2,20.58342734254781,11.280736501630656,17.746263644383234,99
raw,A7,29.216600361348057,17.13123524566139,26.430429939722845,42
raw,A8,22.255309108938047,6.080389485441574,21.64361853476721,78
raw,AC,20.37121150372396,13.359903728704792,17.902369560336993,48
raw,AN,26.851252605888348,17.224797369693988,19.791691598922803,31
raw,AO,28.640516689087956,15.396732677681836,27.186575230803182,46
raw,AQ,28.238304059316267,15.794700112180813,32.28708676371373,7
raw,AR,28.660432152553717,15.180697027800509,28.811670694724256,67
raw,B6,20.41724437125005,8.364408712667752,19.55730580263709,50
raw,BH,20.100861076011665,10.344866691555696,18.72298692678359,141
raw,C8,22.634788761753487,15.80740596439221,18.879792681390505,49
raw,D8,20.749159214521125,10.17690669048236,20.54256680865893,77
raw,E2,18.338836557795194,8.319701274596092,17.73089153662011,82
raw,E9,14.223512912291293,6.611094019275908,12.63413010147935,62
raw,EW,19.492396765625955,8.887043972307229,17.388351033058377,43
raw,GI,13.744461322718719,6.481819293758362,13.744461322718719,2
raw,GM,13.431566149256964,4.833782927156168,13.864570381016597,19
raw,HN,10.48927247381502,0.3002268331410782,10.48927247381502,2
raw,JL,19.561087734009043,3.565723988848936,19.561087734009043,2
raw,LD,24.022956081123173,16.952107106421305,18.286197123562907,5
raw,LL,25.897205823542773,14.614724201692107,22.65120218964803,19
raw,LQ,14.776624942522169,,14.776624942522169,1
raw,MS,19.219734959861242,,19.219734959861242,1
raw,OK,17.034909242482016,,17.034909242482016,1
raw,OL,21.491230578758845,6.823257708031341,20.933488065526,15
raw,PE,39.29217394125314,1.7837084534822485,40.296795553159726,3
raw,PL,28.635229243353642,5.3983197166600005,29.57205903487908,4
raw,S3,11.736927415126214,6.464119464333413,10.677171744265936,10
raw,UL,14.20356924242598,,14.20356924242598,1
raw,UU,37.918826551608376,,37.918826551608376,1
raw,W8,10.927674392314618,,10.927674392314618,1
raw,WT,24.559484612801345,14.678771584164918,24.559484612801345,2
raw,XX,17.406671843423727,8.011799671193161,17.406671843423727,2
raw,Z7,26.71270372414167,4.0952823574573465,26.71270372414167,2
staingan,3C,24.90240471010003,14.69284648017733,19.334600038642012,3
staingan,4H,6.243650321835665,,6.243650321835665,1
staingan,5T,40.48128135891817,,40.48128135891817,1
staingan,A1,15.592365825443173,7.061372955205715,13.72158870137235,12
staingan,A2,17.987865809022423,8.564096950218966,16.58020503002042,99
staingan,A7,28.241096848564307,16.443145507343218,26.264786287967006,42
staingan,A8,30.7127965976061,5.914201270659502,30.50776400628586,78
staingan,AC,20.198236357370405,10.769611391042377,17.9806358950851,48
staingan,AN,28.383583773457037,15.221565585272415,25.14696859392966,31
staingan,AO,25.135334340854193,15.779991341630431,20.36942775774054,46
staingan,AQ,27.67719825758532,14.94194319538292,27.801612050549334,7
staingan,AR,28.1265364100459,13.984298819879522,30.50466227650578,67
staingan,B6,19.23010685244359,7.531402233619748,17.995415118766452,50
staingan,BH,20.08828197719202,10.361453069856656,18.746146969520023,141
staingan,C8,21.290949949188537,13.306088608581918,19.474138166276813,49
staingan,D8,14.5769528944305,6.786491413948268,12.78425292283218,77
staingan,E2,15.192658139022472,6.940532440898559,14.593494455111264,82
staingan,E9,14.524927655474338,6.0284833031470955,14.073956014405006,62
staingan,EW,18.815920951001416,8.296139834477438,17.417379530406482,43
staingan,GI,12.854239992426585,5.975296810470996,12.854239992426585,2
staingan,GM,12.334770161280648,4.950020009495985,11.970395877682163,19
staingan,HN,13.556131301940017,1.3385532733931291,13.556131301940017,2
staingan,JL,17.810953209319663,8.259263123172833,17.810953209319663,2
staingan,LD,23.228223579145865,15.424190905507562,18.663690338498707,5
staingan,LL,24.969944724578724,13.368493487752497,21.93808625116364,19
staingan,LQ,12.351002700931565,,12.351002700931565,1
staingan,MS,8.60332695070758,,8.60332695070758,1
staingan,OK,16.06364881631069,,16.06364881631069,1
staingan,OL,22.718508343467644,7.437617740318642,23.292350535210243,15
staingan,PE,36.57833868414925,1.7942684834676736,37.43407549312919,3
staingan,PL,27.78449735633583,5.089807725522214,28.331061760747076,4
staingan,S3,14.010642859660422,5.019879755905029,13.467194488466507,10
staingan,UL,13.952181089009441,,13.952181089009441,1
staingan,UU,35.54208138792798,,35.54208138792798,1
staingan,W8,7.938290439629868,,7.938290439629868,1
staingan,WT,19.481654658933582,12.542094334361787,19.481654658933582,2
staingan,XX,16.36288462598627,5.364025297107537,16.36288462598627,2
staingan,Z7,15.366091416399762,0.9653708421714288,15.366091416399762,2
