tss,n_slides,n_events,median_time
BH,141,45,41.75296709
A2,99,15,42.44337048
E2,82,6,34.48729329
A8,78,6,16.02722162
D8,77,3,16.50392872
AR,67,11,93.82910872
E9,62,6,31.248972615
B6,50,29,113.07821285
C8,49,2,12.55876648
AC,48,6,19.28198047
AO,46,4,61.610283725
EW,43,1,22.81618832
A7,42,1,20.39977644
AN,31,0,0.32876352
GM,19,2,79.10050301
LL,19,1,16.07653615
OL,15,2,28.20791005
A1,12,1,20.03813657
S3,10,0,18.640891609999997
AQ,7,2,24.78876944
LD,5,0,13.21629352
PL,4,0,0.21369628799999998
PE,3,1,64.20751553
3C,3,0,48.45974291
HN,2,1,32.531150345499995
GI,2,0,58.634973854500004
JL,2,0,11.703981325
WT,2,0,40.996810995000004
XX,2,0,15.6984581
Z7,2,0,107.5549857
UU,1,1,3.813656837
4H,1,0,11.44097051
5T,1,0,9.961534668
LQ,1,0,27.91202288
MS,1,0,22.38879574
OK,1,0,2.104086531
UL,1,0,17.02995036
W8,1,0,11.40809416
